gender,areacode,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
F,939,CAROLINA,PR,983,M,N,20000,0.0,0,0,0
M,808,HONOLULU,HI,96827,S,Y,75000,8.25,1040,0,1040
M,401,ALBION,RI,2802,S,Y,20000,0.0,0,0,0
F,302,CLAYTON,DE,19938,M,Y,25000,3.5636363,0,220,110
M,401,ROCKVILLE,RI,2873,M,N,70000,0.0,0,0,0
F,808,KAPOLEI,HI,96707,M,Y,55000,8.25,0,2080,1040
F,307,TEN-SLEEP,WY,82442,S,N,20000,0.0,0,0,0
M,787,PONCE,PR,716,S,N,40000,0.0,0,0,0
F,307,ALADDIN,WY,82710,M,N,15000,0.0,0,0,0
M,302,HARTLY,DE,19953,S,N,95000,5.95,110,0,0
M,787,MOROVIS,PR,687,S,N,15000,0.0,0,0,0
F,808,KURTISTOWN,HI,96760,S,N,50000,8.25,1040,0,0
F,603,MILTON,NH,3851,S,Y,45000,0.0,0,0,0
F,307,WHEATLAND,WY,82201,S,N,15000,0.0,0,0,0
M,787,ADJUNTAS,PR,601,S,Y,85000,0.0,0,0,0
M,907,WASILLA,AK,99654,S,N,45000,0.0,0,0,0
F,808,HAIKU,HI,96708,M,N,5000,1.9407895,0,2080,0
M,302,FRANKFORD,DE,19945,M,N,75000,5.95,0,220,0
F,401,NORTH-KINGSTOWN,RI,2854,S,N,60000,0.0,0,0,0
F,808,HOOLEHUA,HI,96729,S,N,60000,8.25,1040,0,0
M,307,POINT-OF-ROCKS,WY,82942,M,N,5000,0.0,0,0,0
M,302,WILMINGTON,DE,19880,M,N,45000,4.9272730000000005,0,220,0
M,302,NEWARK,DE,19713,S,Y,90000,5.95,110,0,110
M,907,CIRCLE,AK,99733,M,N,55000,0.0,0,0,0
M,302,KENTON,DE,19955,S,N,80000,5.95,110,0,0
F,401,PROVIDENCE,RI,2918,S,N,60000,0.0,0,0,0
M,302,SMYRNA,DE,19977,M,N,75000,5.95,0,220,0
M,401,PEACE-DALE,RI,2883,M,N,5000,0.0,0,0,0
M,808,LAHAINA,HI,96767,S,N,10000,2.8421054,1040,0,0
F,939,LAS-PIEDRAS,PR,771,M,N,90000,0.0,0,0,0
M,302,OCEAN-VIEW,DE,19970,S,N,75000,5.95,110,0,0
M,401,RIVERSIDE,RI,2915,M,N,80000,0.0,0,0,0
M,401,LINCOLN,RI,2865,S,N,20000,0.0,0,0,0
F,787,SAN-JUAN,PR,933,S,Y,5000,0.0,0,0,0
M,307,AUBURN,WY,83111,S,Y,35000,0.0,0,0,0
M,907,ANCHORAGE,AK,99510,M,N,80000,0.0,0,0,0
F,401,WAKEFIELD,RI,2880,S,Y,80000,0.0,0,0,0
F,808,PAHALA,HI,96777,M,N,85000,8.25,0,2080,0
F,603,HAMPTON,NH,3843,S,N,80000,0.0,0,0,0
F,808,HONOLULU,HI,96815,S,Y,25000,5.546053,1040,0,1040
M,401,CENTRAL-FALLS,RI,2863,S,N,25000,0.0,0,0,0
M,401,CRANSTON,RI,2910,M,Y,100000,0.0,0,0,0
M,939,ANASCO,PR,610,S,Y,20000,0.0,0,0,0
F,302,WILMINGTON,DE,19885,M,Y,60000,5.95,0,220,110
F,401,SMITHFIELD,RI,2917,S,Y,40000,0.0,0,0,0
M,907,KWIGILLINGOK,AK,99622,S,N,65000,0.0,0,0,0
F,401,PROVIDENCE,RI,2904,M,N,35000,0.0,0,0,0
M,808,VOLCANO,HI,96785,S,N,70000,8.25,1040,0,0
M,808,HONOLULU,HI,96840,M,N,70000,8.25,0,2080,0
F,302,MAGNOLIA,DE,19962,M,N,65000,5.95,0,220,0
F,302,WINTERTHUR,DE,19735,S,Y,80000,5.95,110,0,110
M,202,WASHINGTON,DC,20240,M,Y,95000,9.0,0,2740,1370
F,302,SAINT-GEORGES,DE,19733,S,Y,35000,4.2454550000000015,110,0,110
F,302,WILMINGTON,DE,19806,S,Y,20000,3.2227273,110,0,110
M,939,LAJAS,PR,667,S,N,65000,0.0,0,0,0
M,401,JOHNSTON,RI,2919,M,Y,15000,0.0,0,0,0
F,939,AGUADILLA,PR,604,S,Y,10000,0.0,0,0,0
M,401,WEST-GREENWICH,RI,2817,S,N,100000,0.0,0,0,0
F,401,GREENVILLE,RI,2828,M,N,60000,0.0,0,0,0
M,302,TOWNSEND,DE,19734,M,N,65000,5.95,0,220,0
F,808,HONOLULU,HI,96827,S,N,80000,8.25,1040,0,0
F,939,PONCE,PR,732,M,N,50000,0.0,0,0,0
M,302,VIOLA,DE,19979,M,Y,5000,2.2,0,220,110
F,802,PUTNEY,VT,5346,S,Y,100000,4.994672,3300,0,3300
M,302,CLAYMONT,DE,19703,S,Y,35000,4.2454550000000015,110,0,110
F,939,VIEQUES,PR,765,S,N,25000,0.0,0,0,0
M,401,COVENTRY,RI,2816,S,N,75000,0.0,0,0,0
F,302,NEWARK,DE,19714,S,N,90000,5.95,110,0,0
F,401,WEST-GREENWICH,RI,2817,S,N,25000,0.0,0,0,0
F,939,SAN-JUAN,PR,929,S,Y,30000,0.0,0,0,0
M,775,DENIO,NV,89404,M,Y,15000,0.0,0,0,0
M,401,PAWTUCKET,RI,2860,S,Y,65000,0.0,0,0,0
M,401,CAROLINA,RI,2812,M,N,15000,0.0,0,0,0
M,801,CORNISH,UT,84308,M,N,30000,7.0,0,4950,0
M,939,SAN-JUAN,PR,936,S,N,70000,0.0,0,0,0
M,907,FALSE-PASS,AK,99583,M,N,100000,0.0,0,0,0
F,302,CLAYMONT,DE,19703,S,N,55000,5.609091,110,0,0
M,603,HAMPTON,NH,3843,S,Y,65000,0.0,0,0,0
M,787,VEGA-ALTA,PR,692,M,Y,20000,0.0,0,0,0
M,808,HONOLULU,HI,96824,S,N,55000,8.25,1040,0,0
F,435,CORNISH,UT,84308,S,N,30000,7.0,2475,0,0
F,401,PROVIDENCE,RI,2907,M,Y,65000,0.0,0,0,0
M,302,BETHEL,DE,19931,M,N,20000,3.2227273,0,220,0
M,302,WILMINGTON,DE,19806,M,N,85000,5.95,0,220,0
F,302,WILMINGTON,DE,19850,S,Y,55000,5.609091,110,0,110
F,401,FOSTER,RI,2825,M,N,95000,0.0,0,0,0
F,401,NORTH-PROVIDENCE,RI,2911,M,N,35000,0.0,0,0,0
F,808,HANAMAULU,HI,96715,M,Y,5000,1.9407895,0,2080,1040
F,808,KALAHEO,HI,96741,M,Y,50000,8.25,0,2080,1040
M,302,WILMINGTON,DE,19803,M,N,35000,4.2454550000000015,0,220,0
F,808,LAIE,HI,96762,S,Y,90000,8.25,1040,0,1040
M,808,HONOLULU,HI,96838,M,N,15000,3.743421,0,2080,0
M,701,BRADDOCK,ND,58524,S,N,90000,2.7990127,3300,0,0
M,307,BIG-PINEY,WY,83113,M,Y,65000,0.0,0,0,0
F,302,ODESSA,DE,19730,M,N,95000,5.95,0,220,0
F,603,NORTH-STRATFORD,NH,3590,S,N,85000,0.0,0,0,0
M,401,SLOCUM,RI,2877,M,N,30000,0.0,0,0,0
F,702,DENIO,NV,89404,S,N,70000,0.0,0,0,0
M,808,KURTISTOWN,HI,96760,M,Y,20000,4.644737,0,2080,1040
M,939,SAN-JUAN,PR,929,S,Y,100000,0.0,0,0,0
M,401,PROVIDENCE,RI,2912,S,N,45000,0.0,0,0,0
M,401,HOPE-VALLEY,RI,2832,S,N,70000,0.0,0,0,0
M,302,PORT-PENN,DE,19731,S,N,60000,5.95,110,0,0
F,939,CEIBA,PR,735,S,Y,20000,0.0,0,0,0
M,307,CASPER,WY,82609,S,N,5000,0.0,0,0,0
F,302,FRANKFORD,DE,19945,S,Y,5000,2.2,110,0,110
M,401,WOONSOCKET,RI,2895,S,Y,40000,0.0,0,0,0
F,401,WYOMING,RI,2898,S,Y,55000,0.0,0,0,0
M,603,PITTSBURG,NH,3592,M,N,90000,0.0,0,0,0
F,302,WILMINGTON,DE,19893,S,Y,80000,5.95,110,0,110
F,202,WASHINGTON,DC,20580,M,Y,40000,9.0,0,2740,1370
F,808,HONOLULU,HI,96804,M,N,25000,5.546053,0,2080,0
F,401,PROVIDENCE,RI,2904,M,Y,10000,0.0,0,0,0
M,775,LAS-VEGAS,NV,89162,M,N,90000,0.0,0,0,0
M,939,MANATI,PR,674,S,N,85000,0.0,0,0,0
F,401,NORTH-KINGSTOWN,RI,2852,S,Y,30000,0.0,0,0,0
F,401,NORTH-SMITHFIELD,RI,2896,S,Y,70000,0.0,0,0,0
M,808,HONOLULU,HI,96847,M,N,40000,8.25,0,2080,0
M,401,SHANNOCK,RI,2875,S,Y,35000,0.0,0,0,0
F,302,HARTLY,DE,19953,S,N,20000,3.2227273,110,0,0
F,939,VIEQUES,PR,765,M,Y,45000,0.0,0,0,0
F,808,HONOLULU,HI,96814,M,Y,55000,8.25,0,2080,1040
F,808,HONOMU,HI,96728,S,N,35000,7.348684299999999,1040,0,0
F,401,NORTH-SMITHFIELD,RI,2896,S,N,10000,0.0,0,0,0
F,406,BLOOMFIELD,MT,59315,S,Y,60000,6.9,1900,0,1900
F,603,PLAISTOW,NH,3865,M,Y,40000,0.0,0,0,0
M,401,GREENVILLE,RI,2828,S,Y,70000,0.0,0,0,0
M,401,WARWICK,RI,2887,M,Y,55000,0.0,0,0,0
M,401,HOPE,RI,2831,M,N,75000,0.0,0,0,0
M,202,WASHINGTON-NAVY-YARD,DC,20374,M,N,95000,9.0,0,2740,0
F,307,ROCK-SPRINGS,WY,82901,S,N,85000,0.0,0,0,0
F,787,SAN-JUAN,PR,936,S,Y,65000,0.0,0,0,0
F,302,WILMINGTON,DE,19895,S,Y,85000,5.95,110,0,110
M,302,SELBYVILLE,DE,19975,S,Y,35000,4.2454550000000015,110,0,110
M,302,NEWARK,DE,19702,S,N,75000,5.95,110,0,0
F,401,NORTH-SMITHFIELD,RI,2896,S,Y,5000,0.0,0,0,0
M,808,PAHALA,HI,96777,M,N,80000,8.25,0,2080,0
M,302,LINCOLN,DE,19960,S,N,55000,5.609091,110,0,0
F,307,WOLF,WY,82844,M,N,70000,0.0,0,0,0
M,202,WASHINGTON,DC,20575,M,Y,85000,9.0,0,2740,1370
F,787,PONCE,PR,732,M,Y,30000,0.0,0,0,0
F,202,WASHINGTON,DC,20240,M,N,65000,9.0,0,2740,0
M,302,WOODSIDE,DE,19980,M,Y,10000,2.540909,0,220,110
M,907,KASILOF,AK,99610,M,Y,60000,0.0,0,0,0
M,808,HONOLULU,HI,96838,S,Y,80000,8.25,1040,0,1040
F,302,DOVER-AFB,DE,19902,S,Y,50000,5.268182,110,0,110
M,939,GUAYNABO,PR,965,S,Y,40000,0.0,0,0,0
F,307,GUERNSEY,WY,82214,S,N,60000,0.0,0,0,0
F,808,OOKALA,HI,96774,M,Y,30000,6.447368,0,2080,1040
F,787,VIEQUES,PR,765,S,Y,55000,0.0,0,0,0
M,302,NEW-CASTLE,DE,19720,S,Y,70000,5.95,110,0,110
M,302,WILMINGTON,DE,19802,M,N,45000,4.9272730000000005,0,220,0
M,907,TOK,AK,99779,S,N,60000,0.0,0,0,0
F,302,WILMINGTON,DE,19897,S,Y,35000,4.2454550000000015,110,0,110
M,302,WILMINGTON,DE,19893,M,N,50000,5.268182,0,220,0
M,787,QUEBRADILLAS,PR,678,M,N,70000,0.0,0,0,0
F,939,YAUCO,PR,698,M,Y,50000,0.0,0,0,0
F,401,PROVIDENCE,RI,2912,M,Y,100000,0.0,0,0,0
F,302,OCEAN-VIEW,DE,19970,S,Y,15000,2.8818183,110,0,110
M,601,MARKS,MS,38646,S,Y,75000,5.0,6000,0,1500
M,401,ALBION,RI,2802,M,Y,5000,0.0,0,0,0
M,808,HONOLULU,HI,96838,S,N,100000,8.25,1040,0,0
F,302,WILMINGTON,DE,19806,S,N,40000,4.586364,110,0,0
M,401,PROVIDENCE,RI,2906,S,N,5000,0.0,0,0,0
M,603,CENTER-BARNSTEAD,NH,3225,M,Y,45000,0.0,0,0,0
M,808,HONOLULU,HI,96823,S,Y,45000,8.25,1040,0,1040
F,401,GREENVILLE,RI,2828,M,N,85000,0.0,0,0,0
F,907,LOWER-KALSKAG,AK,99626,S,Y,20000,0.0,0,0,0
F,302,WOODSIDE,DE,19980,M,Y,65000,5.95,0,220,110
F,603,NORTH-STRATFORD,NH,3590,S,N,10000,0.0,0,0,0
F,302,WILMINGTON,DE,19892,M,Y,85000,5.95,0,220,110
M,302,MIDDLETOWN,DE,19709,S,N,70000,5.95,110,0,0
M,401,WEST-WARWICK,RI,2893,S,Y,50000,0.0,0,0,0
F,302,WOODSIDE,DE,19980,S,Y,55000,5.609091,110,0,110
M,302,WILMINGTON,DE,19897,S,N,45000,4.9272730000000005,110,0,0
M,808,HILO,HI,96720,S,Y,80000,8.25,1040,0,1040
F,401,EAST-GREENWICH,RI,2818,S,Y,25000,0.0,0,0,0
F,775,SPARKS,NV,89434,S,Y,35000,0.0,0,0,0
M,302,FENWICK-ISLAND,DE,19944,S,N,90000,5.95,110,0,0
F,787,SAN-GERMAN,PR,683,M,Y,55000,0.0,0,0,0
F,401,PROVIDENCE,RI,2903,S,Y,40000,0.0,0,0,0
M,603,NORTH-STRATFORD,NH,3590,M,N,45000,0.0,0,0,0
F,907,FALSE-PASS,AK,99583,M,Y,20000,0.0,0,0,0
M,302,WILMINGTON,DE,19805,S,Y,100000,5.95,110,0,110
M,939,SABANA-GRANDE,PR,637,S,N,55000,0.0,0,0,0
F,401,NEWPORT,RI,2840,M,N,45000,0.0,0,0,0
M,808,MAKAWELI,HI,96769,S,N,65000,8.25,1040,0,0
F,302,NEWARK,DE,19715,S,N,35000,4.2454550000000015,110,0,0
M,302,YORKLYN,DE,19736,S,N,100000,5.95,110,0,0
M,302,WILMINGTON,DE,19804,M,N,15000,2.8818183,0,220,0
M,801,SALT-LAKE-CITY,UT,84157,M,N,45000,7.0,0,4950,0
F,302,WILMINGTON,DE,19808,S,Y,10000,2.540909,110,0,110
F,787,CAGUAS,PR,727,S,N,55000,0.0,0,0,0
M,307,CHEYENNE,WY,82008,M,Y,5000,0.0,0,0,0
M,401,HOPE-VALLEY,RI,2832,M,Y,30000,0.0,0,0,0
M,605,SIOUX-FALLS,SD,57194,M,Y,100000,0.0,0,0,0
M,302,HARTLY,DE,19953,S,Y,50000,5.268182,110,0,110
F,775,SEARCHLIGHT,NV,89046,S,N,70000,0.0,0,0,0
M,603,HAMPTON,NH,3843,M,N,85000,0.0,0,0,0
F,787,ARECIBO,PR,612,M,N,90000,0.0,0,0,0
M,302,NEWARK,DE,19711,S,N,75000,5.95,110,0,0
F,401,NORTH-PROVIDENCE,RI,2911,S,Y,95000,0.0,0,0,0
F,401,WESTERLY,RI,2891,M,Y,70000,0.0,0,0,0
F,302,WILMINGTON,DE,19895,S,N,25000,3.5636363,110,0,0
F,603,ASHUELOT,NH,3441,S,Y,5000,0.0,0,0,0
F,787,CAROLINA,PR,979,M,N,85000,0.0,0,0,0
F,401,SMITHFIELD,RI,2917,S,N,10000,0.0,0,0,0
M,302,NEW-CASTLE,DE,19720,S,Y,100000,5.95,110,0,110
F,208,ATLANTA,ID,83601,S,N,50000,7.8,3300,0,0
M,302,LINCOLN,DE,19960,S,Y,65000,5.95,110,0,110
M,307,BAIROIL,WY,82322,S,N,55000,0.0,0,0,0
F,808,PEARL-CITY,HI,96782,M,N,95000,8.25,0,2080,0
F,939,TOA-ALTA,PR,954,M,Y,30000,0.0,0,0,0
M,302,WILMINGTON,DE,19809,S,Y,85000,5.95,110,0,110
F,302,NEWARK,DE,19725,S,N,60000,5.95,110,0,0
F,401,PROVIDENCE,RI,2903,S,N,70000,0.0,0,0,0
F,302,NEWARK,DE,19702,S,N,100000,5.95,110,0,0
F,787,SAN-JUAN,PR,913,S,Y,55000,0.0,0,0,0
M,939,BAYAMON,PR,958,M,N,5000,0.0,0,0,0
M,307,HUDSON,WY,82515,S,Y,75000,0.0,0,0,0
F,787,CAROLINA,PR,983,M,Y,70000,0.0,0,0,0
M,401,CUMBERLAND,RI,2864,S,N,60000,0.0,0,0,0
F,307,AUBURN,WY,83111,M,Y,45000,0.0,0,0,0
F,808,MAKAWAO,HI,96768,M,Y,90000,8.25,0,2080,1040
M,808,KAHULUI,HI,96733,S,N,75000,8.25,1040,0,0
F,401,CLAYVILLE,RI,2815,M,N,35000,0.0,0,0,0
F,603,NORTH-STRATFORD,NH,3590,M,N,80000,0.0,0,0,0
F,302,LINCOLN,DE,19960,M,Y,80000,5.95,0,220,110
F,302,SMYRNA,DE,19977,M,N,35000,4.2454550000000015,0,220,0
F,302,DOVER,DE,19905,S,N,35000,4.2454550000000015,110,0,0
M,808,HONOLULU,HI,96813,S,N,85000,8.25,1040,0,0
F,302,MAGNOLIA,DE,19962,M,Y,5000,2.2,0,220,110
F,401,MANVILLE,RI,2838,S,N,95000,0.0,0,0,0
F,787,PONCE,PR,733,M,Y,5000,0.0,0,0,0
M,302,WILMINGTON,DE,19810,M,N,65000,5.95,0,220,0
F,401,JAMESTOWN,RI,2835,S,N,25000,0.0,0,0,0
M,302,MIDDLETOWN,DE,19709,M,N,50000,5.268182,0,220,0
M,808,KAUMAKANI,HI,96747,M,Y,40000,8.25,0,2080,1040
M,302,NEWARK,DE,19718,S,Y,80000,5.95,110,0,110
F,802,RANDOLPH,VT,5060,S,N,40000,3.800944,3300,0,0
M,787,TOA-BAJA,PR,949,S,Y,90000,0.0,0,0,0
F,401,KINGSTON,RI,2881,S,N,100000,0.0,0,0,0
M,302,WILMINGTON,DE,19893,M,Y,45000,4.9272730000000005,0,220,110
M,808,HONOLULU,HI,96835,S,Y,85000,8.25,1040,0,1040
M,787,SAN-JUAN,PR,936,S,N,70000,0.0,0,0,0
F,401,CUMBERLAND,RI,2864,S,N,35000,0.0,0,0,0
F,302,WILMINGTON,DE,19886,M,Y,20000,3.2227273,0,220,110
M,605,SIOUX-FALLS,SD,57194,M,Y,25000,0.0,0,0,0
F,307,ETNA,WY,83118,S,N,65000,0.0,0,0,0
F,302,WILMINGTON,DE,19899,M,N,100000,5.95,0,220,0
F,808,KANEOHE,HI,96744,S,Y,80000,8.25,1040,0,1040
M,939,ROSARIO,PR,636,S,Y,100000,0.0,0,0,0
M,302,WILMINGTON,DE,19884,M,Y,60000,5.95,0,220,110
F,907,SHAGELUK,AK,99665,M,Y,70000,0.0,0,0,0
M,401,PROVIDENCE,RI,2901,M,Y,40000,0.0,0,0,0
M,401,GREENVILLE,RI,2828,S,Y,50000,0.0,0,0,0
F,302,WILMINGTON,DE,19894,S,Y,50000,5.268182,110,0,110
M,808,HAIKU,HI,96708,M,Y,80000,8.25,0,2080,1040
F,302,WILMINGTON,DE,19885,S,Y,20000,3.2227273,110,0,110
F,787,ROSARIO,PR,636,S,Y,10000,0.0,0,0,0
F,939,SAN-JUAN,PR,901,S,N,65000,0.0,0,0,0
M,808,HONOLULU,HI,96839,S,N,80000,8.25,1040,0,0
F,603,CONCORD,NH,3302,M,Y,15000,0.0,0,0,0
F,787,MOROVIS,PR,687,M,N,25000,0.0,0,0,0
F,307,WESTON,WY,82731,M,Y,45000,0.0,0,0,0
M,401,WARWICK,RI,2889,M,Y,20000,0.0,0,0,0
F,787,SAN-JUAN,PR,921,M,Y,15000,0.0,0,0,0
F,808,KUNIA,HI,96759,S,Y,30000,6.447368,1040,0,1040
M,808,HONOLULU,HI,96803,S,Y,55000,8.25,1040,0,1040
F,808,TRIPLER-ARMY-MEDICAL-CENTER,HI,96859,S,Y,45000,8.25,1040,0,1040
M,302,MILTON,DE,19968,S,N,30000,3.9045453,110,0,0
M,302,YORKLYN,DE,19736,S,N,75000,5.95,110,0,0
F,401,PROVIDENCE,RI,2903,S,N,20000,0.0,0,0,0
F,401,NORTH-KINGSTOWN,RI,2852,S,Y,55000,0.0,0,0,0
M,939,SAN-GERMAN,PR,683,S,N,50000,0.0,0,0,0
F,808,HAWI,HI,96719,M,Y,35000,7.348684299999999,0,2080,1040
F,808,KAUNAKAKAI,HI,96748,M,Y,40000,8.25,0,2080,1040
M,603,STRATHAM,NH,3885,M,Y,35000,0.0,0,0,0
M,907,LOWER-KALSKAG,AK,99626,M,Y,45000,0.0,0,0,0
M,401,MANVILLE,RI,2838,M,Y,70000,0.0,0,0,0
F,302,GEORGETOWN,DE,19947,M,Y,85000,5.95,0,220,110
F,401,OAKLAND,RI,2858,M,N,20000,0.0,0,0,0
F,808,HANAMAULU,HI,96715,M,N,85000,8.25,0,2080,0
F,939,CAROLINA,PR,987,S,N,5000,0.0,0,0,0
M,787,CAROLINA,PR,987,S,Y,40000,0.0,0,0,0
M,401,WEST-WARWICK,RI,2893,S,Y,5000,0.0,0,0,0
F,302,WILMINGTON,DE,19802,M,N,80000,5.95,0,220,0
M,302,NEWARK,DE,19715,M,N,40000,4.586364,0,220,0
M,401,FISKEVILLE,RI,2823,M,N,80000,0.0,0,0,0
F,307,EVANSVILLE,WY,82636,M,Y,25000,0.0,0,0,0
F,401,BRISTOL,RI,2809,S,Y,75000,0.0,0,0,0
F,307,BIG-PINEY,WY,83113,S,N,5000,0.0,0,0,0
F,401,PROVIDENCE,RI,2918,S,Y,75000,0.0,0,0,0
F,605,SIOUX-FALLS,SD,57194,S,Y,85000,0.0,0,0,0
F,401,RUMFORD,RI,2916,S,Y,80000,0.0,0,0,0
M,302,WILMINGTON,DE,19895,M,Y,20000,3.2227273,0,220,110
M,401,BRADFORD,RI,2808,S,Y,40000,0.0,0,0,0
F,302,NEWARK,DE,19718,M,N,60000,5.95,0,220,0
F,302,LEWES,DE,19958,M,Y,30000,3.9045453,0,220,110
F,808,WAIANAE,HI,96792,S,N,5000,1.9407895,1040,0,0
F,787,CAROLINA,PR,981,S,N,10000,0.0,0,0,0
M,435,SALT-LAKE-CITY,UT,84157,S,Y,25000,7.0,2475,0,2475
F,302,WILMINGTON,DE,19803,S,N,10000,2.540909,110,0,0
F,401,HARMONY,RI,2829,M,Y,60000,0.0,0,0,0
F,208,NAMPA,ID,83687,M,Y,55000,7.8,0,6600,3300
M,302,WILMINGTON,DE,19885,M,N,45000,4.9272730000000005,0,220,0
M,401,RIVERSIDE,RI,2915,M,Y,40000,0.0,0,0,0
F,401,ROCKVILLE,RI,2873,S,Y,95000,0.0,0,0,0
M,302,CLAYMONT,DE,19703,S,Y,90000,5.95,110,0,110
F,808,KAPOLEI,HI,96707,M,Y,60000,8.25,0,2080,1040
M,808,HILO,HI,96721,M,N,75000,8.25,0,2080,0
F,401,SHANNOCK,RI,2875,M,N,95000,0.0,0,0,0
F,787,SABANA-HOYOS,PR,688,M,N,45000,0.0,0,0,0
F,808,LIHUE,HI,96766,M,N,25000,5.546053,0,2080,0
F,787,HATILLO,PR,659,M,N,60000,0.0,0,0,0
M,401,HARMONY,RI,2829,S,N,70000,0.0,0,0,0
M,302,WILMINGTON,DE,19885,S,N,60000,5.95,110,0,0
M,787,PONCE,PR,734,M,N,50000,0.0,0,0,0
M,939,CAGUAS,PR,727,M,N,75000,0.0,0,0,0
F,302,LEWES,DE,19958,S,Y,15000,2.8818183,110,0,110
F,302,WILMINGTON,DE,19885,S,Y,5000,2.2,110,0,110
