color,director,actor_2,actor_1,title,actor_3,original_language,production_countries,content_rating,year,vote_average
color,andrew_adamson,pierfrancesco_favino,peter_dinklage,the_chronicles_of_narnia:_prince_caspian,damián_alcázar,english,usa,pg,2008.0,7.0
color,joss_whedon,robert_downey_jr.,chris_hemsworth,the_avengers,scarlett_johansson,english,usa,pg-13,2012.0,8.0
color,rob_marshall,sam_claflin,johnny_depp,pirates_of_the_caribbean:_on_stranger_tides,stephen_graham,english,usa,pg-13,2011.0,7.0
color,barry_sonnenfeld,michael_stuhlbarg,will_smith,men_in_black_3,nicole_scherzinger,english,usa,pg-13,2012.0,7.0
color,peter_jackson,adam_brown,aidan_turner,the_hobbit:_the_battle_of_the_five_armies,james_nesbitt,english,new_zealand,pg-13,2014.0,8.0
color,marc_webb,andrew_garfield,emma_stone,the_amazing_spider-man,chris_zylka,english,usa,pg-13,2012.0,7.0
color,ridley_scott,william_hurt,mark_addy,robin_hood,scott_grimes,english,usa,pg-13,2010.0,7.0
color,peter_jackson,adam_brown,aidan_turner,the_hobbit:_the_desolation_of_smaug,james_nesbitt,english,usa,pg-13,2013.0,8.0
color,chris_weitz,eva_green,christopher_lee,the_golden_compass,kristin_scott_thomas,english,usa,pg-13,2007.0,6.0
color,peter_jackson,thomas_kretschmann,naomi_watts,king_kong,evan_parke,english,new_zealand,pg-13,2005.0,7.0
color,james_cameron,kate_winslet,leonardo_dicaprio,titanic,gloria_stuart,english,usa,pg-13,1997.0,8.0
color,anthony_russo,scarlett_johansson,robert_downey_jr.,captain_america:_civil_war,chris_evans,english,usa,pg-13,2016.0,8.0
color,peter_berg,alexander_skarsgård,liam_neeson,battleship,tadanobu_asano,english,usa,pg-13,2012.0,6.0
color,colin_trevorrow,judy_greer,bryce_dallas_howard,jurassic_world,omar_sy,english,usa,pg-13,2015.0,7.0
color,sam_mendes,helen_mccrory,albert_finney,skyfall,rory_kinnear,english,uk,pg-13,2012.0,8.0
color,sam_raimi,james_franco,j.k._simmons,spider-man_2,kirsten_dunst,english,usa,pg-13,2004.0,7.0
color,shane_black,jon_favreau,robert_downey_jr.,iron_man_3,don_cheadle,english,usa,pg-13,2013.0,7.0
color,tim_burton,alan_rickman,johnny_depp,alice_in_wonderland,anne_hathaway,english,usa,pg,2010.0,6.0
color,brett_ratner,kelsey_grammer,hugh_jackman,x-men:_the_last_stand,daniel_cudmore,english,canada,pg-13,2006.0,7.0
color,dan_scanlon,tyler_labine,steve_buscemi,monsters_university,sean_hayes,english,usa,g,2013.0,7.0
color,michael_bay,kevin_dunn,glenn_morshower,transformers:_revenge_of_the_fallen,ramon_rodriguez,english,usa,pg-13,2009.0,6.0
color,michael_bay,sophia_myles,bingbing_li,transformers:_age_of_extinction,kelsey_grammer,english,usa,pg-13,2014.0,6.0
color,sam_raimi,mila_kunis,tim_holmes,oz_the_great_and_powerful,james_franco,english,usa,pg,2013.0,6.0
color,marc_webb,andrew_garfield,emma_stone,the_amazing_spider-man_2,b.j._novak,english,usa,pg-13,2014.0,7.0
color,joseph_kosinski,olivia_wilde,jeff_bridges,tron:_legacy,james_frain,english,usa,pg,2010.0,7.0
color,john_lasseter,thomas_kretschmann,joe_mantegna,cars_2,eddie_izzard,english,usa,g,2011.0,6.0
color,martin_campbell,temuera_morrison,ryan_reynolds,green_lantern,taika_waititi,english,usa,pg-13,2011.0,6.0
color,lee_unkrich,john_ratzenberger,tom_hanks,toy_story_3,don_rickles,english,usa,g,2010.0,8.0
color,mcg,bryce_dallas_howard,christian_bale,terminator_salvation,common,english,usa,pg-13,2009.0,7.0
color,james_wan,paul_walker,jason_statham,furious_7,vin_diesel,english,usa,pg-13,2015.0,7.0
color,marc_forster,brad_pitt,peter_capaldi,world_war_z,mireille_enos,english,usa,pg-13,2013.0,7.0
color,bryan_singer,peter_dinklage,jennifer_lawrence,x-men:_days_of_future_past,hugh_jackman,english,usa,pg-13,2014.0,8.0
color,j.j._abrams,bruce_greenwood,benedict_cumberbatch,star_trek_into_darkness,noel_clarke,english,usa,pg-13,2013.0,8.0
color,bryan_singer,ewen_bremner,eddie_marsan,jack_the_giant_slayer,ralph_brown,english,usa,pg-13,2013.0,6.0
color,baz_luhrmann,elizabeth_debicki,leonardo_dicaprio,the_great_gatsby,steve_bisley,english,australia,pg-13,2013.0,7.0
color,mike_newell,richard_coyle,jake_gyllenhaal,prince_of_persia:_the_sands_of_time,reece_ritchie,english,usa,pg-13,2010.0,7.0
color,guillermo_del_toro,clifton_collins_jr.,charlie_hunnam,pacific_rim,larry_joe_campbell,english,usa,pg-13,2013.0,7.0
color,michael_bay,lester_speight,glenn_morshower,transformers:_dark_of_the_moon,kevin_dunn,english,usa,pg-13,2011.0,6.0
color,steven_spielberg,ray_winstone,harrison_ford,indiana_jones_and_the_kingdom_of_the_crystal_skull,jim_broadbent,english,usa,pg-13,2008.0,6.0
color,peter_sohn,jack_mcgraw,a.j._buckley,the_good_dinosaur,peter_sohn,english,usa,pg,2015.0,7.0
color,mark_andrews,john_ratzenberger,kelly_macdonald,brave,julie_walters,english,usa,pg,2012.0,7.0
color,justin_lin,melissa_roxburgh,sofia_boutella,star_trek_beyond,lydia_wilson,english,usa,pg-13,2016.0,8.0
color,andrew_stanton,fred_willard,john_ratzenberger,wall·e,jeff_garlin,english,usa,g,2008.0,8.0
color,brett_ratner,dana_ivey,tzi_ma,rush_hour_3,noémie_lenoir,english,usa,pg-13,2007.0,6.0
color,roland_emmerich,liam_james,oliver_platt,2012,tom_mccarthy,english,usa,pg-13,2009.0,6.0
color,robert_zemeckis,colin_firth,robin_wright,a_christmas_carol,gary_oldman,english,usa,pg,2009.0,7.0
color,lana_wachowski,mila_kunis,channing_tatum,jupiter_ascending,eddie_redmayne,english,usa,pg-13,2015.0,5.0
color,david_yates,alexander_skarsgård,christoph_waltz,the_legend_of_tarzan,casper_crump,english,usa,pg-13,2016.0,7.0
color,andrew_adamson,kiran_shah,jim_broadbent,"the_chronicles_of_narnia:_the_lion,_the_witch_and_the_wardrobe",shane_rangi,english,usa,pg,2005.0,7.0
color,bryan_singer,michael_fassbender,jennifer_lawrence,x-men:_apocalypse,tye_sheridan,english,usa,pg-13,2016.0,7.0
color,christopher_nolan,heath_ledger,christian_bale,the_dark_knight,morgan_freeman,english,usa,pg-13,2008.0,9.0
color,pete_docter,delroy_lindo,john_ratzenberger,up,jess_harnell,english,usa,pg,2009.0,8.0
color,rob_letterman,rainn_wilson,amy_poehler,monsters_vs._aliens,stephen_colbert,english,usa,pg,2009.0,6.0
color,jon_favreau,jeff_bridges,robert_downey_jr.,iron_man,jon_favreau,english,usa,pg-13,2008.0,8.0
color,martin_scorsese,christopher_lee,chloë_grace_moretz,hugo,ray_winstone,english,usa,pg,2011.0,8.0
color,barry_sonnenfeld,salma_hayek,will_smith,wild_wild_west,bai_ling,english,usa,pg-13,1999.0,5.0
color,rob_cohen,brendan_fraser,jet_li,the_mummy:_tomb_of_the_dragon_emperor,russell_wong,english,usa,pg-13,2008.0,5.0
color,david_ayer,robin_atkin_downes,will_smith,suicide_squad,ike_barinholtz,english,usa,pg-13,2016.0,7.0
color,tom_shadyac,morgan_freeman,jimmy_bennett,evan_almighty,steve_carell,english,usa,pg,2007.0,5.0
color,doug_liman,lara_pulver,tom_cruise,edge_of_tomorrow,noah_taylor,english,usa,pg-13,2014.0,8.0
color,kevin_reynolds,rick_aviles,jeanne_tripplehorn,waterworld,zakes_mokae,english,usa,pg-13,1995.0,6.0
color,stephen_sommers,dennis_quaid,joseph_gordon-levitt,g.i._joe:_the_rise_of_cobra,leo_howard,english,usa,pg-13,2009.0,6.0
color,pete_docter,mindy_kaling,amy_poehler,inside_out,phyllis_smith,english,usa,pg,2015.0,8.0
color,jon_favreau,bill_murray,scarlett_johansson,the_jungle_book,garry_shandling,english,uk,pg,2016.0,8.0
color,jon_favreau,scarlett_johansson,robert_downey_jr.,iron_man_2,jon_favreau,english,usa,pg-13,2010.0,7.0
color,rupert_sanders,kristen_stewart,chris_hemsworth,snow_white_and_the_huntsman,sam_claflin,english,usa,pg-13,2012.0,6.0
color,robert_stromberg,sharlto_copley,angelina_jolie_pitt,maleficent,sam_riley,english,usa,pg,2014.0,7.0
color,matt_reeves,judy_greer,gary_oldman,dawn_of_the_planet_of_the_apes,kodi_smit-mcphee,english,usa,pg-13,2014.0,8.0
color,roland_joffé,alice_englert,tamsin_egerton,the_lovers,bipasha_basu,english,belgium,r,2015.0,4.0
color,carl_rinsch,cary-hiroyuki_tagawa,keanu_reeves,47_ronin,jin_akanishi,english,usa,pg-13,2013.0,6.0
color,anthony_russo,chris_evans,scarlett_johansson,captain_america:_the_winter_soldier,hayley_atwell,english,usa,pg-13,2014.0,8.0
color,mike_mitchell,kathy_griffin,jon_hamm,shrek_forever_after,mary_kay_place,english,usa,pg,2010.0,6.0
color,brad_bird,chris_bauer,judy_greer,tomorrowland,thomas_robinson,english,usa,pg,2015.0,6.0
color,don_hall,daniel_henney,damon_wayans_jr.,big_hero_6,abraham_benrubi,english,usa,pg,2014.0,8.0
color,rich_moore,sarah_silverman,jack_mcbrayer,wreck-it_ralph,joe_lo_truglio,english,usa,pg,2012.0,8.0
color,robert_zemeckis,eddie_deezen,tom_hanks,the_polar_express,peter_scolari,english,usa,g,2004.0,7.0
color,roland_emmerich,sela_ward,vivica_a._fox,independence_day:_resurgence,judd_hirsch,english,usa,pg-13,2016.0,6.0
color,dean_deblois,america_ferrera,gerard_butler,how_to_train_your_dragon,craig_ferguson,english,usa,pg,2010.0,8.0
color,jonathan_mostow,m.c._gainey,nick_stahl,terminator_3:_rise_of_the_machines,carolyn_hennesy,english,usa,r,2003.0,6.0
color,james_gunn,vin_diesel,bradley_cooper,guardians_of_the_galaxy,djimon_hounsou,english,usa,pg-13,2014.0,8.0
color,christopher_nolan,anne_hathaway,matthew_mcconaughey,interstellar,mackenzie_foy,english,usa,pg-13,2014.0,9.0
color,christopher_nolan,tom_hardy,leonardo_dicaprio,inception,joseph_gordon-levitt,english,usa,pg-13,2010.0,9.0
color,peter_jackson,adam_brown,aidan_turner,the_hobbit:_an_unexpected_journey,james_nesbitt,english,usa,pg-13,2012.0,8.0
color,rob_cohen,vin_diesel,paul_walker,the_fast_and_the_furious,jordana_brewster,english,usa,pg-13,2001.0,7.0
color,david_fincher,jason_flemyng,brad_pitt,the_curious_case_of_benjamin_button,julia_ormond,english,usa,pg-13,2008.0,8.0
color,matthew_vaughn,michael_fassbender,jennifer_lawrence,x-men:_first_class,oliver_platt,english,usa,pg-13,2011.0,8.0
color,francis_lawrence,philip_seymour_hoffman,jennifer_lawrence,the_hunger_games:_mockingjay_-_part_2,josh_hutcherson,english,usa,pg-13,2015.0,7.0
color,jon_turteltaub,omar_benson_miller,nicolas_cage,the_sorcerer's_apprentice,robert_capron,english,usa,pg,2010.0,6.0
color,wolfgang_petersen,mike_vogel,jimmy_bennett,poseidon,andre_braugher,english,usa,pg-13,2006.0,6.0
color,james_bobin,alan_rickman,johnny_depp,alice_through_the_looking_glass,anne_hathaway,english,usa,pg,2016.0,6.0
color,chris_miller,eric_idle,justin_timberlake,shrek_the_third,rupert_everett,english,usa,pg,2007.0,6.0
color,duncan_jones,callum_rennie,dominic_cooper,warcraft,ruth_negga,english,usa,pg-13,2016.0,7.0
color,alan_taylor,emilia_clarke,j.k._simmons,terminator_genisys,matt_smith,english,usa,pg-13,2015.0,7.0
color,michael_apted,shane_rangi,bruce_spence,the_chronicles_of_narnia:_the_voyage_of_the_dawn_treader,laura_brent,english,usa,pg,2010.0,6.0
black_and_white,michael_bay,jaime_king,jennifer_garner,pearl_harbor,mako,english,usa,pg-13,2001.0,6.0
color,michael_bay,michael_o'neill,zack_ward,transformers,kevin_dunn,english,usa,pg-13,2007.0,7.0
color,oliver_stone,angelina_jolie_pitt,anthony_hopkins,alexander,brian_blessed,english,germany,r,2004.0,6.0
color,david_yates,daniel_radcliffe,robert_pattinson,harry_potter_and_the_order_of_the_phoenix,fiona_shaw,english,uk,pg-13,2007.0,8.0
color,mike_newell,daniel_radcliffe,robert_pattinson,harry_potter_and_the_goblet_of_fire,rupert_grint,english,uk,pg-13,2005.0,8.0
color,peter_berg,charlize_theron,will_smith,hancock,eddie_marsan,english,usa,pg-13,2008.0,6.0
color,francis_lawrence,alice_braga,will_smith,i_am_legend,willow_smith,english,usa,pg-13,2007.0,7.0
color,tim_burton,christopher_lee,johnny_depp,charlie_and_the_chocolate_factory,david_kelly,english,usa,pg,2005.0,7.0
color,brad_bird,john_ratzenberger,janeane_garofalo,ratatouille,brian_dennehy,english,usa,g,2007.0,8.0
color,christopher_nolan,liam_neeson,christian_bale,batman_begins,morgan_freeman,english,usa,pg-13,2005.0,8.0
color,eric_darnell,jada_pinkett_smith,bernie_mac,madagascar:_escape_2_africa,cedric_the_entertainer,english,usa,pg,2008.0,7.0
color,shawn_levy,rami_malek,robin_williams,night_at_the_museum:_battle_of_the_smithsonian,steve_coogan,english,usa,pg,2009.0,6.0
color,gavin_hood,ryan_reynolds,hugh_jackman,x-men_origins:_wolverine,dominic_monaghan,english,usa,pg-13,2009.0,7.0
color,lana_wachowski,collin_chou,essie_davis,the_matrix_revolutions,nona_gaye,english,australia,r,2003.0,7.0
color,chris_buck,maurice_lamarche,josh_gad,frozen,livvy_stubenrauch,english,usa,pg,2013.0,8.0
color,lana_wachowski,daniel_bernhardt,steve_bastoni,the_matrix_reloaded,helmut_bakaitis,english,usa,r,2003.0,7.0
color,alan_taylor,natalie_portman,chris_hemsworth,thor:_the_dark_world,anthony_hopkins,english,usa,pg-13,2013.0,7.0
color,george_miller,charlize_theron,tom_hardy,mad_max:_fury_road,zoë_kravitz,english,australia,r,2015.0,8.0
color,ron_howard,ayelet_zurer,tom_hanks,angels_&_demons,armin_mueller-stahl,english,usa,pg-13,2009.0,7.0
color,kenneth_branagh,natalie_portman,chris_hemsworth,thor,anthony_hopkins,english,usa,pg-13,2011.0,7.0
color,byron_howard,diedrich_bader,chloë_grace_moretz,bolt,james_lipton,english,usa,pg,2008.0,7.0
color,hoyt_yeatman,piper_mackenzie_harris,kelli_garner,g-force,niecy_nash,english,usa,pg,2009.0,5.0
color,jonathan_liebesman,edgar_ramírez,liam_neeson,wrath_of_the_titans,lily_james,english,usa,pg-13,2012.0,6.0
color,tim_burton,chloë_grace_moretz,johnny_depp,dark_shadows,christopher_lee,english,usa,pg-13,2012.0,6.0
color,christopher_mcquarrie,jeremy_renner,tom_cruise,mission:_impossible_-_rogue_nation,sean_harris,english,china,pg-13,2015.0,7.0
color,joe_johnston,simon_merrells,anthony_hopkins,the_wolfman,art_malik,english,usa,r,2010.0,6.0
color,steve_hickner,oprah_winfrey,matthew_broderick,bee_movie,rip_torn,english,usa,pg,2007.0,6.0
color,jennifer_yuh_nelson,gary_oldman,angelina_jolie_pitt,kung_fu_panda_2,mike_bell,english,usa,pg,2011.0,7.0
color,m._night_shyamalan,noah_ringer,seychelle_gabriel,the_last_airbender,aasif_mandvi,english,usa,pg,2010.0,4.0
color,j.j._abrams,tom_cruise,philip_seymour_hoffman,mission:_impossible_iii,eddie_marsan,english,usa,pg-13,2006.0,7.0
color,roland_emmerich,jake_weber,channing_tatum,white_house_down,matt_craven,english,usa,pg-13,2013.0,6.0
color,simon_wells,dan_fogler,elisabeth_harnois,mars_needs_moms,tom_everett_scott,english,usa,pg,2011.0,5.0
color,david_bowers,kate_winslet,hugh_jackman,flushed_away,david_suchet,english,uk,pg,2006.0,7.0
color,joe_wright,cara_delevingne,hugh_jackman,pan,nonso_anozie,english,usa,pg,2015.0,6.0
color,rob_minkoff,zach_callison,ty_burrell,mr._peabody_&_sherman,karan_brar,english,usa,pg,2014.0,7.0
color,wolfgang_petersen,orlando_bloom,brad_pitt,troy,julian_glover,english,usa,r,2004.0,7.0
color,eric_darnell,martin_short,jada_pinkett_smith,madagascar_3:_europe's_most_wanted,cedric_the_entertainer,english,usa,pg,2012.0,7.0
black_and_white,lee_tamahori,colin_salmon,toby_stephens,die_another_day,rick_yune,english,uk,pg-13,2002.0,6.0
color,paul_feig,kate_mckinnon,ed_begley_jr.,ghostbusters,zach_woods,english,usa,pg-13,2016.0,6.0
color,michael_bay,steve_buscemi,bruce_willis,armageddon,will_patton,english,usa,pg-13,1998.0,7.0
color,barry_sonnenfeld,rosario_dawson,will_smith,men_in_black_ii,rip_torn,english,usa,pg-13,2002.0,6.0
color,robert_zemeckis,anthony_hopkins,robin_wright,beowulf,sebastian_roché,english,usa,pg-13,2007.0,6.0
color,alessandro_carloni,angelina_jolie_pitt,j.k._simmons,kung_fu_panda_3,wayne_knight,english,usa,pg,2016.0,7.0
color,brad_bird,jeremy_renner,tom_cruise,mission:_impossible_-_ghost_protocol,michael_nyqvist,english,usa,pg-13,2011.0,7.0
color,peter_ramsey,kamil_mcfadden,hugh_jackman,rise_of_the_guardians,khamani_griffin,english,usa,pg,2012.0,7.0
color,dean_parisot,richard_burgi,john_michael_higgins,fun_with_dick_and_jane,david_herman,english,usa,pg-13,2005.0,6.0
color,edward_zwick,tony_goldwyn,tom_cruise,the_last_samurai,chad_lindberg,english,usa,r,2003.0,8.0
color,ridley_scott,maría_valverde,christian_bale,exodus:_gods_and_kings,ben_mendelsohn,english,uk,pg-13,2014.0,6.0
color,j.j._abrams,leonard_nimoy,chris_hemsworth,star_trek,bruce_greenwood,english,usa,pg-13,2009.0,8.0
color,sam_raimi,james_franco,j.k._simmons,spider-man,kirsten_dunst,english,usa,pg-13,2002.0,7.0
color,dean_deblois,djimon_hounsou,gerard_butler,how_to_train_your_dragon_2,america_ferrera,english,usa,pg,2014.0,8.0
color,alex_proyas,elodie_yung,gerard_butler,gods_of_egypt,bryan_brown,english,usa,pg-13,2016.0,6.0
color,rob_cohen,joe_morton,sam_shepard,stealth,richard_roxburgh,english,usa,pg-13,2005.0,5.0
color,zack_snyder,billy_crudup,matt_frewer,watchmen,stephen_mchattie,english,usa,r,2009.0,8.0
color,richard_donner,rene_russo,jet_li,lethal_weapon_4,darlene_love,english,usa,r,1998.0,7.0
color,ang_lee,regi_davis,kevin_rankin,hulk,celia_weston,english,usa,pg-13,2003.0,6.0
color,jon_m._chu,dwayne_johnson,channing_tatum,g.i._joe:_retaliation,elodie_yung,english,usa,pg-13,2013.0,6.0
color,breck_eisner,rainn_wilson,matthew_mcconaughey,sahara,delroy_lindo,english,uk,pg-13,2005.0,6.0
color,hironobu_sakaguchi,ming-na_wen,steve_buscemi,final_fantasy:_the_spirits_within,jean_simmons,english,usa,pg-13,2001.0,6.0
color,joe_johnston,dominic_cooper,chris_evans,captain_america:_the_first_avenger,hayley_atwell,english,usa,pg-13,2011.0,7.0
color,michael_apted,maria_grazia_cucinotta,colin_salmon,the_world_is_not_enough,desmond_llewelyn,english,uk,pg-13,1999.0,6.0
color,peter_weir,lee_ingleby,james_d'arcy,master_and_commander:_the_far_side_of_the_world,david_threlfall,english,usa,pg-13,2003.0,7.0
color,bill_condon,kristen_stewart,robert_pattinson,the_twilight_saga:_breaking_dawn_-_part_2,taylor_lautner,english,usa,pg-13,2012.0,6.0
color,george_miller,brad_pitt,robin_williams,happy_feet_2,common,english,australia,pg,2011.0,6.0
color,louis_leterrier,peter_mensah,ty_burrell,the_incredible_hulk,william_hurt,english,usa,pg-13,2008.0,7.0
color,steven_spielberg,penelope_wilton,mark_rylance,the_bfg,rafe_spall,english,uk,pg,2016.0,7.0
color,alejandro_g._iñárritu,tom_hardy,leonardo_dicaprio,the_revenant,lukas_haas,english,usa,r,2015.0,8.0
color,david_soren,snoop_dogg,ryan_reynolds,turbo,ben_schwartz,english,usa,pg,2013.0,6.0
color,gore_verbinski,ray_winstone,johnny_depp,rango,stephen_root,english,usa,pg,2011.0,7.0
color,eric_darnell,annet_mahendru,benedict_cumberbatch,penguins_of_madagascar,andy_richter,english,usa,pg,2014.0,7.0
color,paul_greengrass,edgar_ramírez,matt_damon,the_bourne_ultimatum,albert_finney,english,usa,pg-13,2007.0,8.0
color,mark_osborne,wayne_knight,angelina_jolie_pitt,kung_fu_panda,dan_fogler,english,usa,pg,2008.0,8.0
color,peyton_reed,hayley_atwell,judy_greer,ant-man,t.i.,english,usa,pg-13,2015.0,7.0
color,francis_lawrence,josh_hutcherson,jennifer_lawrence,the_hunger_games:_catching_fire,sandra_ellis_lafferty,english,usa,pg-13,2013.0,8.0
color,tim_johnson,matt_jones,jim_parsons,home,april_winchell,english,usa,pg,2015.0,7.0
color,steven_spielberg,lisa_ann_walter,tom_cruise,war_of_the_worlds,rick_gonzalez,english,usa,pg-13,2005.0,6.0
color,michael_bay,henry_rollins,will_smith,bad_boys_ii,jordi_mollà,english,usa,r,2003.0,7.0
color,chris_miller,constance_marie,salma_hayek,puss_in_boots,amy_sedaris,english,usa,pg,2011.0,7.0
color,phillip_noyce,andre_braugher,angelina_jolie_pitt,salt,august_diehl,english,usa,pg-13,2010.0,6.0
color,darren_aronofsky,emma_watson,anthony_hopkins,noah,logan_lerman,english,usa,pg-13,2014.0,6.0
color,steven_spielberg,mackenzie_crook,toby_jones,the_adventures_of_tintin,tony_curran,english,usa,pg,2011.0,7.0
color,alfonso_cuarón,gary_oldman,daniel_radcliffe,harry_potter_and_the_prisoner_of_azkaban,rupert_grint,english,uk,pg,2004.0,8.0
color,baz_luhrmann,bryan_brown,essie_davis,australia,eddie_baroo,english,australia,pg-13,2008.0,7.0
color,m._night_shyamalan,zoë_kravitz,will_smith,after_earth,glenn_morshower,english,usa,pg-13,2013.0,5.0
color,eric_leighton,d.b._sweeney,alfre_woodard,dinosaur,della_reese,english,usa,pg,2000.0,6.0
color,shawn_levy,rami_malek,robin_williams,night_at_the_museum:_secret_of_the_tomb,steve_coogan,english,usa,pg,2014.0,6.0
color,tom_mcgrath,brad_pitt,j.k._simmons,megamind,will_ferrell,english,usa,pg,2010.0,7.0
color,chris_columbus,fiona_shaw,daniel_radcliffe,harry_potter_and_the_sorcerer's_stone,verne_troyer,english,uk,pg,2001.0,8.0
color,robert_schwentke,jeff_bridges,ryan_reynolds,r.i.p.d.,stephanie_szostak,english,usa,pg-13,2013.0,6.0
color,gore_verbinski,orlando_bloom,johnny_depp,pirates_of_the_caribbean:_the_curse_of_the_black_pearl,jack_davenport,english,usa,pg-13,2003.0,8.0
color,francis_lawrence,philip_seymour_hoffman,jennifer_lawrence,the_hunger_games:_mockingjay_-_part_1,josh_hutcherson,english,usa,pg-13,2014.0,7.0
color,ron_howard,seth_gabel,tom_hanks,the_da_vinci_code,jürgen_prochnow,english,usa,pg-13,2006.0,7.0
color,carlos_saldanha,rachel_crow,miguel_ferrer,rio_2,jeffrey_garcia,english,usa,g,2014.0,6.0
color,bryan_singer,bruce_davison,hugh_jackman,x-men_2,aaron_stanford,english,canada,pg-13,2003.0,8.0
color,justin_lin,vin_diesel,paul_walker,fast_five,dwayne_johnson,english,usa,pg-13,2011.0,7.0
color,guy_ritchie,eddie_marsan,robert_downey_jr.,sherlock_holmes:_a_game_of_shadows,paul_anderson,english,usa,pg-13,2011.0,8.0
color,louis_leterrier,jason_flemyng,liam_neeson,clash_of_the_titans,alexa_davalos,english,usa,pg-13,2010.0,6.0
color,paul_verhoeven,rachel_ticotin,ronny_cox,total_recall,marshall_bell,english,usa,r,1990.0,8.0
color,john_mctiernan,vladimir_kulich,tony_curran,the_13th_warrior,clive_russell,english,usa,r,1999.0,7.0
color,tony_gilroy,scott_glenn,jeremy_renner,the_bourne_legacy,stacy_keach,english,usa,pg-13,2012.0,7.0
color,joel_schumacher,vivica_a._fox,michael_gough,batman_&_robin,john_glover,english,usa,pg-13,1997.0,4.0
color,ron_howard,t.j._thyne,clint_howard,how_the_grinch_stole_christmas,molly_shannon,english,usa,pg,2000.0,6.0
color,roland_emmerich,dennis_quaid,jake_gyllenhaal,the_day_after_tomorrow,sela_ward,english,usa,pg-13,2004.0,6.0
color,john_woo,dougray_scott,tom_cruise,mission:_impossible_ii,richard_roxburgh,english,usa,pg-13,2000.0,6.0
color,wolfgang_petersen,mary_elizabeth_mastrantonio,karen_allen,the_perfect_storm,bob_gunton,english,usa,pg-13,2000.0,6.0
color,tim_story,ioan_gruffudd,chris_evans,fantastic_4:_rise_of_the_silver_surfer,andre_braugher,english,usa,pg,2007.0,6.0
color,ang_lee,rafe_spall,suraj_sharma,life_of_pi,tabu,english,usa,pg,2012.0,8.0
color,mark_steven_johnson,matt_long,nicolas_cage,ghost_rider,peter_fonda,english,usa,pg-13,2007.0,5.0
color,paul_greengrass,riz_ahmed,matt_damon,jason_bourne,ato_essandoh,english,uk,pg-13,2016.0,7.0
color,mcg,bernie_mac,demi_moore,charlie's_angels:_full_throttle,justin_theroux,english,usa,pg-13,2003.0,5.0
color,ridley_scott,charlize_theron,michael_fassbender,prometheus,sean_harris,english,usa,r,2012.0,7.0
color,rob_minkoff,brad_garrett,nathan_lane,stuart_little_2,melanie_griffith,english,usa,pg,2002.0,5.0
color,neill_blomkamp,sharlto_copley,matt_damon,elysium,alice_braga,english,usa,r,2013.0,7.0
color,david_twohy,alexa_davalos,vin_diesel,the_chronicles_of_riddick,christina_cox,english,usa,pg-13,2004.0,7.0
color,josé_padilha,abbie_cornish,gary_oldman,robocop,jennifer_ehle,english,usa,pg-13,2014.0,6.0
color,lana_wachowski,kick_gurry,scott_porter,speed_racer,nicholas_elia,english,usa,pg,2008.0,6.0
color,james_l._brooks,domenick_lombardozzi,shelley_conn,how_do_you_know,teyonah_parris,english,usa,pg-13,2010.0,5.0
color,james_mangold,marc_blucas,tom_cruise,knight_and_day,jordi_mollà,english,usa,pg-13,2010.0,6.0
color,joseph_kosinski,tom_cruise,morgan_freeman,oblivion,zoë_bell,english,usa,pg-13,2013.0,7.0
